Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket,Name
29,Pallet Town,Low,Scientist,Fighting,70,0,UltraBall,63,3,False,Aggressive,10,False,61828,True,False,Kevin García
64,Cerulean City,Middle,Researcher,Electric,83,0,UltraBall,84,4,False,Unpredictable,6,False,43359,True,False,Christopher Clark
36,Viridian City,Middle,Researcher,Fire,90,0,TimerBall,42,4,False,Aggressive,23,False,51054,True,False,Ethan Young
22,Viridian City,Low,Underground Battler,Ice,66,1,DuskBall,43,3,False,Unpredictable,27,True,153681,False,True,Paul Brown
44,Lavender Town,Middle,PokéMart Seller,Poison,69,0,LuxuryBall,20,2,False,Defensive,14,False,38953,True,False,John Lee
28,Saffron City,Middle,Rocket Grunt,Flying,55,1,HealBall,65,3,False,Defensive,23,True,193578,False,True,Daniel Wilson
44,Pallet Town,Low,Nurse,Grass,90,0,TimerBall,81,3,False,Defensive,12,False,99839,True,False,Kevin Moore
45,Fuchsia City,Low,Nurse,Dragon,33,0,GreatBall,22,3,False,Aggressive,22,False,52780,True,False,Jason Thomas
67,Cinnabar Island,Low,Police Officer,Fairy,26,0,GreatBall,80,2,False,Defensive,13,False,70139,True,False,Paul Harris
65,Lavender Town,Middle,Black Market Dealer,Dark,60,0,DuskBall,55,1,False,Unpredictable,10,False,30531,True,False,Richard Lewis
57,Cinnabar Island,Low,Underground Battler,Steel,8,0,HealBall,42,5,False,Defensive,10,False,62090,True,False,Paul Sanchez
68,Fuchsia City,Middle,Black Market Dealer,Bug,60,0,TimerBall,61,5,False,Aggressive,9,False,78141,True,False,Jacob Hernández
21,Pallet Town,Middle,Scientist,Ground,47,0,LuxuryBall,24,3,False,Aggressive,13,False,79565,True,False,Anthony Martin
23,Cerulean City,Low,Champion,Ice,63,1,DuskBall,70,3,False,Defensive,29,True,392418,False,True,David Hernández
56,Lavender Town,Low,Gym Leader Assistant,Ground,61,0,TimerBall,30,0,False,Unpredictable,17,False,4870,True,False,Ethan Brown
43,Cerulean City,Middle,Biker,Psychic,84,0,DarkBall,53,3,False,Unpredictable,18,False,84491,True,False,Aaron Wilson
22,Lavender Town,Low,Police Officer,Grass,26,0,HealBall,35,1,False,Aggressive,17,False,15431,True,False,George Harris
68,Vermilion City,Low,Black Market Dealer,Ice,28,0,DarkBall,82,1,False,Unpredictable,6,False,48058,True,False,Andrew Jones
19,Celadon City,Low,Biker,Ghost,53,0,HealBall,46,0,False,Unpredictable,18,False,48089,True,False,Anthony Ramirez
39,Pewter City,Middle,Rocket Grunt,Normal,85,0,NetBall,61,4,False,Defensive,25,False,36546,True,False,John Johnson
63,Pallet Town,Middle,Breeder,Ghost,94,1,NetBall,37,0,False,Unpredictable,28,False,107730,False,True,Thomas Moore
